SampleNum,Date1,StartTime,EndTime,Datetime,Date2,Date3
1,8/16/1955,0:00,12:34,8/16/1955 0:00,1955-08-16,8/16/55
2,8/2/1984,0:00,3:43,8/2/1984 0:00,1984-08-02,8/2/84
3,12/4/1984,0:00,6:52,12/4/1984 0:00,1984-12-04,12/4/84
4,8/15/2020,0:00,12:34,8/15/2020 0:00,2020-08-15,8/15/20
5,8/15/1920,0:00,5:23,8/15/1920 0:00,1920-08-15,8/15/20
6,5/1/1985,11:00,4:11,5/1/1985 11:00,1985-05-01,5/1/85
7,5/1/1985,11:20,6:32,5/1/1985 11:20,1985-05-01,5/1/85
8,4/26/1999,11:45,8:43,4/26/1999 11:45,1999-04-26,4/26/99
9,4/29/1985,12:30,9:54,4/29/1985 12:30,1985-04-29,4/29/85
10,5/3/1985,12:50,2:22,5/3/1985 12:50,1985-05-03,5/3/85
11,4/26/1985,13:10,6:45,4/26/1985 13:10,1985-04-26,4/26/85
