"","year","stms.i.","Fish.id","depth","vel","lwd"
"1",2001,"Willow Ck.",1,1.01,0.32,0.13
"2",2001,"Willow Ck.",2,1.01,0.32,0.13
"3",2001,"Willow Ck.",3,1.01,0.32,0.13
"4",2001,"Willow Ck.",4,1.01,0.32,0.13
"5",2001,"Willow Ck.",5,1.01,0.32,0.13
"6",2001,"Willow Ck.",6,1.01,0.32,0.13
"7",2001,"Willow Ck.",7,1.01,0.32,0.13
"8",2001,"Willow Ck.",8,1.01,0.32,0.13
"9",2001,"Willow Ck.",9,1.01,0.32,0.13
"10",2001,"Willow Ck.",10,1.01,0.32,0.13
"11",2001,"Willow Ck.",11,1.01,0.32,0.13
"12",2001,"Willow Ck.",12,1.01,0.32,0.13
"13",2001,"Willow Ck.",13,1.01,0.32,0.13
"14",2001,"Willow Ck.",14,1.01,0.32,0.13
"15",2001,"Willow Ck.",15,1.01,0.32,0.13
"16",2001,"Willow Ck.",16,1.01,0.32,0.13
"17",2001,"Willow Ck.",17,1.01,0.32,0.13
"18",2001,"Clear Ck.",1,0.81,0.9,0.14
"19",2001,"Clear Ck.",2,0.81,0.9,0.14
"20",2001,"Clear Ck.",3,0.81,0.9,0.14
"21",2001,"Clear Ck.",4,0.81,0.9,0.14
"22",2001,"Elk Ck.",1,1,0.54,0.14
"23",2001,"Elk Ck.",2,1,0.54,0.14
"24",2001,"Elk Ck.",3,1,0.54,0.14
"25",2001,"Elk Ck.",4,1,0.54,0.14
"26",2001,"Elk Ck.",5,1,0.54,0.14
"27",2001,"Elk Ck.",6,1,0.54,0.14
"28",2001,"Elk Ck.",7,1,0.54,0.14
"29",2001,"Elk Ck.",8,1,0.54,0.14
"30",2001,"Elk Ck.",9,1,0.54,0.14
"31",2001,"Elk Ck.",10,1,0.54,0.14
"32",2001,"Panther Ck.",1,0.51,0.54,0.16
"33",2001,"Panther Ck.",2,0.51,0.54,0.16
"34",2001,"Panther Ck.",3,0.51,0.54,0.16
"35",2001,"Panther Ck.",4,0.51,0.54,0.16
"36",2001,"Panther Ck.",5,0.51,0.54,0.16
"37",2001,"Panther Ck.",6,0.51,0.54,0.16
"38",2001,"Panther Ck.",7,0.51,0.54,0.16
"39",2001,"Salmon River",1,1.19,0.16,0.13
"40",2001,"Salmon River",2,1.19,0.16,0.13
"41",2001,"Salmon River",3,1.19,0.16,0.13
"42",2001,"Salmon River",4,1.19,0.16,0.13
