"","year","stms.i.","Fish.id","depth","vel","lwd"
"1",1997,"Willow Ck.",1,0.83,0.86,0.19
"2",1997,"Willow Ck.",2,0.83,0.86,0.19
"3",1997,"Willow Ck.",3,0.83,0.86,0.19
"4",1997,"Willow Ck.",4,0.83,0.86,0.19
"5",1997,"Willow Ck.",5,0.83,0.86,0.19
"6",1997,"Clear Ck.",1,0.76,0.15,0.2
"7",1997,"Clear Ck.",2,0.76,0.15,0.2
"8",1997,"Clear Ck.",3,0.76,0.15,0.2
"9",1997,"Clear Ck.",4,0.76,0.15,0.2
"10",1997,"Clear Ck.",5,0.76,0.15,0.2
"11",1997,"Clear Ck.",6,0.76,0.15,0.2
"12",1997,"Clear Ck.",7,0.76,0.15,0.2
"13",1997,"Clear Ck.",8,0.76,0.15,0.2
"14",1997,"Elk Ck.",1,0.37,0.86,0.07
"15",1997,"Elk Ck.",2,0.37,0.86,0.07
"16",1997,"Elk Ck.",3,0.37,0.86,0.07
"17",1997,"Elk Ck.",4,0.37,0.86,0.07
"18",1997,"Elk Ck.",5,0.37,0.86,0.07
"19",1997,"Elk Ck.",6,0.37,0.86,0.07
"20",1997,"Elk Ck.",7,0.37,0.86,0.07
"21",1997,"Panther Ck.",1,0.49,0.03,0.12
"22",1997,"Panther Ck.",2,0.49,0.03,0.12
"23",1997,"Panther Ck.",3,0.49,0.03,0.12
"24",1997,"Panther Ck.",4,0.49,0.03,0.12
"25",1997,"Panther Ck.",5,0.49,0.03,0.12
"26",1997,"Panther Ck.",6,0.49,0.03,0.12
"27",1997,"Panther Ck.",7,0.49,0.03,0.12
"28",1997,"Panther Ck.",8,0.49,0.03,0.12
"29",1997,"Panther Ck.",9,0.49,0.03,0.12
"30",1997,"Panther Ck.",10,0.49,0.03,0.12
"31",1997,"Panther Ck.",11,0.49,0.03,0.12
"32",1997,"Panther Ck.",12,0.49,0.03,0.12
"33",1997,"Panther Ck.",13,0.49,0.03,0.12
"34",1997,"Panther Ck.",14,0.49,0.03,0.12
"35",1997,"Panther Ck.",15,0.49,0.03,0.12
"36",1997,"Panther Ck.",16,0.49,0.03,0.12
"37",1997,"Panther Ck.",17,0.49,0.03,0.12
"38",1997,"Panther Ck.",18,0.49,0.03,0.12
"39",1997,"Panther Ck.",19,0.49,0.03,0.12
"40",1997,"Salmon River",1,1.53,0.29,0.23
"41",1997,"Salmon River",2,1.53,0.29,0.23
"42",1997,"Salmon River",3,1.53,0.29,0.23
"43",1997,"Salmon River",4,1.53,0.29,0.23
"44",1997,"Salmon River",5,1.53,0.29,0.23
"45",1997,"Salmon River",6,1.53,0.29,0.23
"46",1997,"Salmon River",7,1.53,0.29,0.23
"47",1997,"Salmon River",8,1.53,0.29,0.23
"48",1997,"Salmon River",9,1.53,0.29,0.23
"49",1997,"Salmon River",10,1.53,0.29,0.23
"50",1997,"Salmon River",11,1.53,0.29,0.23
"51",1997,"Salmon River",12,1.53,0.29,0.23
"52",1997,"Salmon River",13,1.53,0.29,0.23
