"","year","stms.i.","Fish.id","depth","vel","lwd"
"1",2000,"Willow Ck.",1,0.3,0.29,0.04
"2",2000,"Willow Ck.",2,0.3,0.29,0.04
"3",2000,"Willow Ck.",3,0.3,0.29,0.04
"4",2000,"Willow Ck.",4,0.3,0.29,0.04
"5",2000,"Willow Ck.",5,0.3,0.29,0.04
"6",2000,"Willow Ck.",6,0.3,0.29,0.04
"7",2000,"Willow Ck.",7,0.3,0.29,0.04
"8",2000,"Willow Ck.",8,0.3,0.29,0.04
"9",2000,"Willow Ck.",9,0.3,0.29,0.04
"10",2000,"Willow Ck.",10,0.3,0.29,0.04
"11",2000,"Willow Ck.",11,0.3,0.29,0.04
"12",2000,"Willow Ck.",12,0.3,0.29,0.04
"13",2000,"Willow Ck.",13,0.3,0.29,0.04
"14",2000,"Willow Ck.",14,0.3,0.29,0.04
"15",2000,"Willow Ck.",15,0.3,0.29,0.04
"16",2000,"Willow Ck.",16,0.3,0.29,0.04
"17",2000,"Clear Ck.",1,1.46,0.54,0.09
"18",2000,"Clear Ck.",2,1.46,0.54,0.09
"19",2000,"Clear Ck.",3,1.46,0.54,0.09
"20",2000,"Clear Ck.",4,1.46,0.54,0.09
"21",2000,"Clear Ck.",5,1.46,0.54,0.09
"22",2000,"Elk Ck.",1,0.63,0.51,0.11
"23",2000,"Elk Ck.",2,0.63,0.51,0.11
"24",2000,"Elk Ck.",3,0.63,0.51,0.11
"25",2000,"Elk Ck.",4,0.63,0.51,0.11
"26",2000,"Elk Ck.",5,0.63,0.51,0.11
"27",2000,"Elk Ck.",6,0.63,0.51,0.11
"28",2000,"Elk Ck.",7,0.63,0.51,0.11
"29",2000,"Elk Ck.",8,0.63,0.51,0.11
"30",2000,"Elk Ck.",9,0.63,0.51,0.11
"31",2000,"Elk Ck.",10,0.63,0.51,0.11
"32",2000,"Panther Ck.",1,0.3,0.48,0.09
"33",2000,"Panther Ck.",2,0.3,0.48,0.09
"34",2000,"Panther Ck.",3,0.3,0.48,0.09
"35",2000,"Panther Ck.",4,0.3,0.48,0.09
"36",2000,"Panther Ck.",5,0.3,0.48,0.09
"37",2000,"Panther Ck.",6,0.3,0.48,0.09
"38",2000,"Panther Ck.",7,0.3,0.48,0.09
"39",2000,"Panther Ck.",8,0.3,0.48,0.09
"40",2000,"Panther Ck.",9,0.3,0.48,0.09
"41",2000,"Panther Ck.",10,0.3,0.48,0.09
"42",2000,"Panther Ck.",11,0.3,0.48,0.09
"43",2000,"Panther Ck.",12,0.3,0.48,0.09
"44",2000,"Panther Ck.",13,0.3,0.48,0.09
"45",2000,"Panther Ck.",14,0.3,0.48,0.09
"46",2000,"Panther Ck.",15,0.3,0.48,0.09
"47",2000,"Salmon River",1,0.43,0.63,0.09
"48",2000,"Salmon River",2,0.43,0.63,0.09
"49",2000,"Salmon River",3,0.43,0.63,0.09
"50",2000,"Salmon River",4,0.43,0.63,0.09
"51",2000,"Salmon River",5,0.43,0.63,0.09
"52",2000,"Salmon River",6,0.43,0.63,0.09
"53",2000,"Salmon River",7,0.43,0.63,0.09
"54",2000,"Salmon River",8,0.43,0.63,0.09
"55",2000,"Salmon River",9,0.43,0.63,0.09
