"","year","stms.i.","Fish.id","depth","vel","lwd"
"1",2011,"Willow Ck.",1,0.43,0.37,0.18
"2",2011,"Willow Ck.",2,0.43,0.37,0.18
"3",2011,"Willow Ck.",3,0.43,0.37,0.18
"4",2011,"Willow Ck.",4,0.43,0.37,0.18
"5",2011,"Willow Ck.",5,0.43,0.37,0.18
"6",2011,"Willow Ck.",6,0.43,0.37,0.18
"7",2011,"Willow Ck.",7,0.43,0.37,0.18
"8",2011,"Willow Ck.",8,0.43,0.37,0.18
"9",2011,"Willow Ck.",9,0.43,0.37,0.18
"10",2011,"Willow Ck.",10,0.43,0.37,0.18
"11",2011,"Willow Ck.",11,0.43,0.37,0.18
"12",2011,"Willow Ck.",12,0.43,0.37,0.18
"13",2011,"Willow Ck.",13,0.43,0.37,0.18
"14",2011,"Clear Ck.",1,0.28,0.88,0.09
"15",2011,"Clear Ck.",2,0.28,0.88,0.09
"16",2011,"Clear Ck.",3,0.28,0.88,0.09
"17",2011,"Clear Ck.",4,0.28,0.88,0.09
"18",2011,"Clear Ck.",5,0.28,0.88,0.09
"19",2011,"Clear Ck.",6,0.28,0.88,0.09
"20",2011,"Clear Ck.",7,0.28,0.88,0.09
"21",2011,"Clear Ck.",8,0.28,0.88,0.09
"22",2011,"Clear Ck.",9,0.28,0.88,0.09
"23",2011,"Clear Ck.",10,0.28,0.88,0.09
"24",2011,"Clear Ck.",11,0.28,0.88,0.09
"25",2011,"Clear Ck.",12,0.28,0.88,0.09
"26",2011,"Clear Ck.",13,0.28,0.88,0.09
"27",2011,"Clear Ck.",14,0.28,0.88,0.09
"28",2011,"Clear Ck.",15,0.28,0.88,0.09
"29",2011,"Clear Ck.",16,0.28,0.88,0.09
"30",2011,"Clear Ck.",17,0.28,0.88,0.09
"31",2011,"Clear Ck.",18,0.28,0.88,0.09
"32",2011,"Elk Ck.",1,1.23,0.01,0.16
"33",2011,"Elk Ck.",2,1.23,0.01,0.16
"34",2011,"Elk Ck.",3,1.23,0.01,0.16
"35",2011,"Elk Ck.",4,1.23,0.01,0.16
"36",2011,"Elk Ck.",5,1.23,0.01,0.16
"37",2011,"Elk Ck.",6,1.23,0.01,0.16
"38",2011,"Elk Ck.",7,1.23,0.01,0.16
"39",2011,"Elk Ck.",8,1.23,0.01,0.16
"40",2011,"Elk Ck.",9,1.23,0.01,0.16
"41",2011,"Elk Ck.",10,1.23,0.01,0.16
"42",2011,"Panther Ck.",1,0.71,0.77,0.09
"43",2011,"Panther Ck.",2,0.71,0.77,0.09
"44",2011,"Panther Ck.",3,0.71,0.77,0.09
"45",2011,"Panther Ck.",4,0.71,0.77,0.09
"46",2011,"Panther Ck.",5,0.71,0.77,0.09
"47",2011,"Panther Ck.",6,0.71,0.77,0.09
"48",2011,"Panther Ck.",7,0.71,0.77,0.09
"49",2011,"Panther Ck.",8,0.71,0.77,0.09
"50",2011,"Panther Ck.",9,0.71,0.77,0.09
"51",2011,"Panther Ck.",10,0.71,0.77,0.09
"52",2011,"Panther Ck.",11,0.71,0.77,0.09
"53",2011,"Panther Ck.",12,0.71,0.77,0.09
"54",2011,"Panther Ck.",13,0.71,0.77,0.09
"55",2011,"Panther Ck.",14,0.71,0.77,0.09
"56",2011,"Panther Ck.",15,0.71,0.77,0.09
"57",2011,"Panther Ck.",16,0.71,0.77,0.09
"58",2011,"Panther Ck.",17,0.71,0.77,0.09
"59",2011,"Panther Ck.",18,0.71,0.77,0.09
"60",2011,"Panther Ck.",19,0.71,0.77,0.09
"61",2011,"Salmon River",1,0.72,0.69,0.07
"62",2011,"Salmon River",2,0.72,0.69,0.07
"63",2011,"Salmon River",3,0.72,0.69,0.07
"64",2011,"Salmon River",4,0.72,0.69,0.07
"65",2011,"Salmon River",5,0.72,0.69,0.07
"66",2011,"Salmon River",6,0.72,0.69,0.07
"67",2011,"Salmon River",7,0.72,0.69,0.07
"68",2011,"Salmon River",8,0.72,0.69,0.07
"69",2011,"Salmon River",9,0.72,0.69,0.07
"70",2011,"Salmon River",10,0.72,0.69,0.07
"71",2011,"Salmon River",11,0.72,0.69,0.07
"72",2011,"Salmon River",12,0.72,0.69,0.07
"73",2011,"Salmon River",13,0.72,0.69,0.07
