Depth.m,Velocity.ms,Season,Sample.area.m2,No.caught
0.27,1.04,summer,124,24
0.3,0.53,summer,104,18
1.73,1.36,summer,107,51
1.73,0.05,spring,114,21
2.02,0.36,summer,101,26
0.51,0.66,fall,121,49
0.92,1.39,summer,118,58
0.33,0.61,spring,102,19
1.08,1.77,summer,119,48
1.49,0.86,summer,120,42
1.62,1.08,fall,122,55
0.68,1.96,fall,112,59
1.71,0.75,summer,104,38
0.44,0.48,summer,123,23
2.14,1.58,spring,112,29
1.78,1.1,summer,116,51
1.65,1.29,spring,107,45
2.15,0.35,summer,120,26
1.9,1.36,spring,105,39
0.93,1.25,summer,102,52
1.01,1.44,summer,107,57
2.12,0.45,summer,104,12
1.54,0.75,fall,109,42
2.07,0.83,summer,102,23
1.59,1.44,fall,105,49
1.69,0.35,fall,115,31
1,1.85,spring,123,51
1.24,0.66,summer,108,39
0.8,1.22,summer,120,50
0.95,1.91,fall,119,53
1.86,0.36,fall,105,21
1.34,1.27,summer,118,46
1.39,1.85,spring,115,60
1.57,1.22,fall,111,53
1.98,0.33,summer,120,34
0.39,0.5,fall,124,30
1.06,0.93,fall,123,53
0.79,1.11,summer,117,41
1.07,0.23,spring,114,44
0.57,1.49,spring,119,47
2.14,1.35,summer,119,40
1.07,0.66,spring,119,40
0.22,1.1,summer,106,30
2.16,1.87,fall,122,30
1.73,1.84,summer,121,51
1,0.8,summer,113,43
0.51,1.63,spring,118,45
1.95,0.13,fall,119,21
1.78,0.34,summer,108,34
1.87,1.02,fall,122,48
0.37,1.22,summer,105,30
1.72,1.37,fall,105,48
1.18,1.27,summer,121,60
1.86,0.24,summer,112,38
1.67,0.05,summer,103,26
1.23,1.91,spring,105,59
0.57,0.03,fall,123,42
1.49,1.05,summer,109,39
0.76,1.43,summer,101,43
0.36,0.93,spring,105,38
0.78,1.4,fall,121,50
1.72,1.98,spring,108,52
2.04,1.13,fall,113,32
1.72,0.71,spring,113,44
1.46,1.94,summer,121,61
