"","year","stms.i.","Fish.id","depth","vel","lwd"
"1",2003,"Willow Ck.",1,1.18,0.68,0.1
"2",2003,"Willow Ck.",2,1.18,0.68,0.1
"3",2003,"Clear Ck.",1,1.43,0.26,0.1
"4",2003,"Clear Ck.",2,1.43,0.26,0.1
"5",2003,"Clear Ck.",3,1.43,0.26,0.1
"6",2003,"Clear Ck.",4,1.43,0.26,0.1
"7",2003,"Clear Ck.",5,1.43,0.26,0.1
"8",2003,"Clear Ck.",6,1.43,0.26,0.1
"9",2003,"Clear Ck.",7,1.43,0.26,0.1
"10",2003,"Clear Ck.",8,1.43,0.26,0.1
"11",2003,"Clear Ck.",9,1.43,0.26,0.1
"12",2003,"Clear Ck.",10,1.43,0.26,0.1
"13",2003,"Clear Ck.",11,1.43,0.26,0.1
"14",2003,"Clear Ck.",12,1.43,0.26,0.1
"15",2003,"Clear Ck.",13,1.43,0.26,0.1
"16",2003,"Elk Ck.",1,0.9,0.42,0.19
"17",2003,"Elk Ck.",2,0.9,0.42,0.19
"18",2003,"Elk Ck.",3,0.9,0.42,0.19
"19",2003,"Elk Ck.",4,0.9,0.42,0.19
"20",2003,"Elk Ck.",5,0.9,0.42,0.19
"21",2003,"Elk Ck.",6,0.9,0.42,0.19
"22",2003,"Elk Ck.",7,0.9,0.42,0.19
"23",2003,"Elk Ck.",8,0.9,0.42,0.19
"24",2003,"Elk Ck.",9,0.9,0.42,0.19
"25",2003,"Elk Ck.",10,0.9,0.42,0.19
"26",2003,"Elk Ck.",11,0.9,0.42,0.19
"27",2003,"Elk Ck.",12,0.9,0.42,0.19
"28",2003,"Elk Ck.",13,0.9,0.42,0.19
"29",2003,"Elk Ck.",14,0.9,0.42,0.19
"30",2003,"Panther Ck.",1,0.92,0.87,0.07
"31",2003,"Panther Ck.",2,0.92,0.87,0.07
"32",2003,"Panther Ck.",3,0.92,0.87,0.07
"33",2003,"Panther Ck.",4,0.92,0.87,0.07
"34",2003,"Panther Ck.",5,0.92,0.87,0.07
"35",2003,"Panther Ck.",6,0.92,0.87,0.07
"36",2003,"Panther Ck.",7,0.92,0.87,0.07
"37",2003,"Panther Ck.",8,0.92,0.87,0.07
"38",2003,"Salmon River",1,0.73,0.71,0.09
"39",2003,"Salmon River",2,0.73,0.71,0.09
"40",2003,"Salmon River",3,0.73,0.71,0.09
"41",2003,"Salmon River",4,0.73,0.71,0.09
"42",2003,"Salmon River",5,0.73,0.71,0.09
"43",2003,"Salmon River",6,0.73,0.71,0.09
"44",2003,"Salmon River",7,0.73,0.71,0.09
"45",2003,"Salmon River",8,0.73,0.71,0.09
"46",2003,"Salmon River",9,0.73,0.71,0.09
"47",2003,"Salmon River",10,0.73,0.71,0.09
"48",2003,"Salmon River",11,0.73,0.71,0.09
"49",2003,"Salmon River",12,0.73,0.71,0.09
"50",2003,"Salmon River",13,0.73,0.71,0.09
"51",2003,"Salmon River",14,0.73,0.71,0.09
