fish.ID,Prey.taxa,LH,Date,Year,Month,yr.mo,Run,Site.Code,Gear,FL,Fullness,Digestion,Damp.wt,Empty.wt,Count,Wt,Stomach.broken.damaged,Comments,REF,Category,fin.wt
2012-001CHNS,Daphniidae,ephippia,3/13/2012,2012,Mar,2012.Mar,S,STTD,RSTR,70,4,2,0.0888,0.0515,3,5.00E-04,,,Cladocera,Zooplankton,2.6980658
2012-001CHNS,Animal Matter,,3/13/2012,2012,Mar,2012.Mar,S,STTD,RSTR,70,4,2,0.0888,0.0515,NA,0.0047,,,Animal Matter,Nondescript,2.6980658
2012-001CHNS,Daphnia sp,,3/13/2012,2012,Mar,2012.Mar,S,STTD,RSTR,70,4,2,0.0888,0.0515,4,0.0014,,,Cladocera,Zooplankton,2.6980658
2012-001CHNS,Daphniidae,,3/13/2012,2012,Mar,2012.Mar,S,STTD,RSTR,70,4,2,0.0888,0.0515,5,2.00E-04,,,Cladocera,Zooplankton,2.6980658
2012-002CHNS,unidentified,,3/13/2012,2012,Mar,2012.Mar,S,STTD,RSTR,69,2,3,0.1106,0.0757,NA,0.0022,,,Unidentified,Nondescript,2.96461924
2012-002CHNS,Daphnia pulex/pulicaria,,3/13/2012,2012,Mar,2012.Mar,S,STTD,RSTR,69,2,3,0.1106,0.0757,10,0.0048,,,Cladocera,Zooplankton,2.96461924
2012-006CHNS,Animal Matter,,3/16/2012,2012,Mar,2012.Mar,S,STTD,RSTR,68,2,5,0.0827,0.0711,NA,0,,,Animal Matter,Nondescript,2.70981328
2012-006CHNS,Daphnia sp,,3/16/2012,2012,Mar,2012.Mar,S,STTD,RSTR,68,2,5,0.0827,0.0711,17,0.0012,,,Cladocera,Zooplankton,2.70981328
2012-006CHNS,Daphniidae,,3/16/2012,2012,Mar,2012.Mar,S,STTD,RSTR,68,2,5,0.0827,0.0711,4,2.00E-04,,,Cladocera,Zooplankton,2.70981328
2012-007CHNF,Aphididae,,3/12/2012,2012,Mar,2012.Mar,F,STTD,RSTR,60,3,5,0.0624,0.0428,7,0.0027,,,Hemiptera,Terrestrial,1.84393044
2012-007CHNF,unidentified,,3/12/2012,2012,Mar,2012.Mar,F,STTD,RSTR,60,3,5,0.0624,0.0428,NA,0.0012,,,Unidentified,Nondescript,1.84393044
2012-007CHNF,Chironomidae,adult,3/12/2012,2012,Mar,2012.Mar,F,STTD,RSTR,60,3,5,0.0624,0.0428,12,0.0035,,,Diptera,Diptera,1.84393044
2012-007CHNF,Dolichopodidae,adult,3/12/2012,2012,Mar,2012.Mar,F,STTD,RSTR,60,3,5,0.0624,0.0428,1,0.0025,,,Diptera,Diptera,1.84393044
2012-007CHNF,Ceratopogonidae,adult,3/12/2012,2012,Mar,2012.Mar,F,STTD,RSTR,60,3,5,0.0624,0.0428,2,0,,,Diptera,Diptera,1.84393044
2012-007CHNF,Cyclopoida,,3/12/2012,2012,Mar,2012.Mar,F,STTD,RSTR,60,3,5,0.0624,0.0428,9,2.00E-04,,,Copepoda,Zooplankton,1.84393044
2012-007CHNS,Daphnia sp,,3/19/2012,2012,Mar,2012.Mar,S,STTD,RSTR,72,6,3,0.1775,0.0418,26,0.0067,,,Cladocera,Zooplankton,3.03676748
2012-007CHNS,Simocephalus sp,,3/19/2012,2012,Mar,2012.Mar,S,STTD,RSTR,72,6,3,0.1775,0.0418,2,1.00E-04,,,Cladocera,Aquatic,3.03676748
2012-007CHNS,Daphniidae,,3/19/2012,2012,Mar,2012.Mar,S,STTD,RSTR,72,6,3,0.1775,0.0418,24,0.0048,,,Cladocera,Zooplankton,3.03676748
