OrganismID,InvertDataID,PhysicalDataID,StationCodes,Date,WaterTemperature,SecchiDiskDepth,EC,pH,DO,Turbidity,DriftData,EnteredBy.x,QA.QC.dBy.x,N,Volume_cubic_meters,Rotor_Constant,Distance_in_meters,StartMeterEndMeter_Diff,Comments,Year,Month,ConditionCode,StartTime,StopTime,SetTime,DriftStartMeter,DriftEndMeter,FlowMeterSpeed,FieldComments,EnteredBy.y,QA.QC.dBy.y,InvertCode.x,SampleVolume,InvertCatchID,Count,InvertCode.y,Classification,Order.x,Family.x,Category,Phylum,Class,Order.y,Family.y,Species
34,411,445,SHR,2011/1/12,7.599999905,0.560000002,101,7,11.10000038,NA,TRUE,,,0.582926778,1.715481324,26873,60.03434203,2234,,2011,1,1,1/0/1900,1/0/1900,10,207680,209914,Regular,,lrojas,,NA,NA,3450,1,NA,,,,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,
38,411,445,SHR,2011/1/12,7.599999905,0.560000002,101,7,11.10000038,NA,TRUE,,,0.582926778,1.715481324,26873,60.03434203,2234,,2011,1,1,1/0/1900,1/0/1900,10,207680,209914,Regular,,lrojas,,NA,NA,3451,1,NA,,,,Aquatic Insects,Anthropoda,Insecta,Diptera,Simuliidae,
76,411,445,SHR,2011/1/12,7.599999905,0.560000002,101,7,11.10000038,NA,TRUE,,,0.582926778,1.715481324,26873,60.03434203,2234,,2011,1,1,1/0/1900,1/0/1900,10,207680,209914,Regular,,lrojas,,NA,NA,3449,1,NA,,,,Aquatic Insects,Anthropoda,Insecta,Ephemeroptera,Ephemeridae,
34,412,446,STTD,2011/1/12,6.599999905,0.270000011,374,8.039999962,9.859999657,NA,TRUE,,,0.945492561,6.345898683,26873,222.0786941,8264,,2011,1,1,1/0/1900,1/0/1900,10,209918,218182,Regular,,lrojas,,NA,NA,3539,6,NA,,,,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,
41,412,446,STTD,2011/1/12,6.599999905,0.270000011,374,8.039999962,9.859999657,NA,TRUE,,,0.157582094,6.345898683,26873,222.0786941,8264,,2011,1,1,1/0/1900,1/0/1900,10,209918,218182,Regular,,lrojas,,NA,NA,3538,1,NA,,,,Aquatic Insects,Anthropoda,Insecta,Ephemeroptera,Baetidae,
57,412,446,STTD,2011/1/12,6.599999905,0.270000011,374,8.039999962,9.859999657,NA,TRUE,,,0.157582094,6.345898683,26873,222.0786941,8264,,2011,1,1,1/0/1900,1/0/1900,10,209918,218182,Regular,,lrojas,,NA,NA,3540,1,NA,,,,Terrestrial Non-Insects,,Arachnida,Acari,,
68,412,446,STTD,2011/1/12,6.599999905,0.270000011,374,8.039999962,9.859999657,NA,TRUE,,,0.315164187,6.345898683,26873,222.0786941,8264,,2011,1,1,1/0/1900,1/0/1900,10,209918,218182,Regular,,lrojas,,NA,NA,3541,2,NA,,,,Terrestrial Insects,,,Collembola,,
18,413,447,STTD,2011/1/26,10.60000038,0.300000012,643,8.359999657,8.18999958,NA,TRUE,,,0.789247528,1.267029626,26873,44.34049434,1650,,2011,1,1,1/0/1900,1/0/1900,10,82363,84013,Regular,,lrojas,,NA,NA,3544,1,NA,,,,Aquatic Non-Insects,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,
34,413,447,STTD,2011/1/26,10.60000038,0.300000012,643,8.359999657,8.18999958,NA,TRUE,,,6.313980224,1.267029626,26873,44.34049434,1650,,2011,1,1,1/0/1900,1/0/1900,10,82363,84013,Regular,,lrojas,,NA,NA,3543,8,NA,,,,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,
46,413,447,STTD,2011/1/26,10.60000038,0.300000012,643,8.359999657,8.18999958,NA,TRUE,,,0.789247528,1.267029626,26873,44.34049434,1650,,2011,1,1,1/0/1900,1/0/1900,10,82363,84013,Regular,,lrojas,,NA,NA,3542,1,NA,,,,Aquatic Insects,Anthropoda,Insecta,Odonata,Coenagrionidae,
62,413,447,STTD,2011/1/26,10.60000038,0.300000012,643,8.359999657,8.18999958,NA,TRUE,,,0.789247528,1.267029626,26873,44.34049434,1650,,2011,1,1,1/0/1900,1/0/1900,10,82363,84013,Regular,,lrojas,,NA,NA,3547,1,NA,,,,Terrestrial Non-Insects,,Diplopoda,Julida,,
64,413,447,STTD,2011/1/26,10.60000038,0.300000012,643,8.359999657,8.18999958,NA,TRUE,,,0.789247528,1.267029626,26873,44.34049434,1650,,2011,1,1,1/0/1900,1/0/1900,10,82363,84013,Regular,,lrojas,,NA,NA,3545,1,NA,,,,Terrestrial Insects,,,Diptera,,
67,413,447,STTD,2011/1/26,10.60000038,0.300000012,643,8.359999657,8.18999958,NA,TRUE,,,0.789247528,1.267029626,26873,44.34049434,1650,,2011,1,1,1/0/1900,1/0/1900,10,82363,84013,Regular,,lrojas,,NA,NA,3546,1,NA,,,,Terrestrial Insects,,,Psocoptera,,
15,414,448,SHR,2011/1/26,9.800000191,0.720000029,119,8.359999657,11.22999954,NA,TRUE,,,0.396184491,2.524076594,26873,88.33163933,3287,,2011,1,1,1/0/1900,1/0/1900,10,218188,221475,Regular,,lrojas,,NA,NA,3454,1,NA,,,,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,
34,414,448,SHR,2011/1/26,9.800000191,0.720000029,119,8.359999657,11.22999954,NA,TRUE,,,0.396184491,2.524076594,26873,88.33163933,3287,,2011,1,1,1/0/1900,1/0/1900,10,218188,221475,Regular,,lrojas,,NA,NA,3453,1,NA,,,,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,
48,414,448,SHR,2011/1/26,9.800000191,0.720000029,119,8.359999657,11.22999954,NA,TRUE,,,0.396184491,2.524076594,26873,88.33163933,3287,,2011,1,1,1/0/1900,1/0/1900,10,218188,221475,Regular,,lrojas,,NA,NA,3452,1,NA,,,,Aquatic Insects,Anthropoda,Insecta,Trichoptera,Hydropsychidae,
NA,415,449,SHR,2011/2/9,10,0.689999998,139,7.789999962,10.72000027,NA,TRUE,,,0,1.862917498,26873,65.19396319,2426,,2011,2,4,1/0/1900,1/0/1900,10,230906,233332,Regular,Used E&L flow meter value,lrojas,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,416,450,STTD,2011/2/9,10.19999981,0.079999998,658,8.210000038,10.02000046,NA,TRUE,,,0.155753908,6.420384667,26873,224.6853777,8361,,2011,2,4,1/0/1900,1/0/1900,10,233333,241694,Regular,,lrojas,,NA,NA,3550,1,NA,,,,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,
18,416,450,STTD,2011/2/9,10.19999981,0.079999998,658,8.210000038,10.02000046,NA,TRUE,,,0.155753908,6.420384667,26873,224.6853777,8361,,2011,2,4,1/0/1900,1/0/1900,10,233333,241694,Regular,,lrojas,,NA,NA,3551,1,NA,,,,Aquatic Non-Insects,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,
34,416,450,STTD,2011/2/9,10.19999981,0.079999998,658,8.210000038,10.02000046,NA,TRUE,,,0.62301563,6.420384667,26873,224.6853777,8361,,2011,2,4,1/0/1900,1/0/1900,10,233333,241694,Regular,,lrojas,,NA,NA,3549,4,NA,,,,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,
44,416,450,STTD,2011/2/9,10.19999981,0.079999998,658,8.210000038,10.02000046,NA,TRUE,,,0.467261723,6.420384667,26873,224.6853777,8361,,2011,2,4,1/0/1900,1/0/1900,10,233333,241694,Regular,,lrojas,,NA,NA,3548,3,NA,,,,Aquatic Insects,Anthropoda,Insecta,Hemiptera,Corixidae,
64,416,450,STTD,2011/2/9,10.19999981,0.079999998,658,8.210000038,10.02000046,NA,TRUE,,,0.155753908,6.420384667,26873,224.6853777,8361,,2011,2,4,1/0/1900,1/0/1900,10,233333,241694,Regular,,lrojas,,NA,NA,3552,1,NA,,,,Terrestrial Insects,,,Diptera,,
34,417,451,SHR,2011/2/23,8.800000191,0.439999998,102,8.5,11,NA,TRUE,,,0.353682352,2.827395807,26873,98.94648495,3682,,2011,2,1,1/0/1900,1/0/1900,10,241713,245395,Regular,,lrojas,,NA,NA,3455,1,NA,,,,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,
77,417,451,SHR,2011/2/23,8.800000191,0.439999998,102,8.5,11,NA,TRUE,,,0.353682352,2.827395807,26873,98.94648495,3682,,2011,2,1,1/0/1900,1/0/1900,10,241713,245395,Regular,,lrojas,,NA,NA,3770,1,NA,,,,Aquatic Non-Insects,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,
9,418,452,STTD,2011/2/23,9.100000381,0.239999995,453,8.850000381,9.979999542,NA,TRUE,,,0.115081161,8.689519543,26873,304.0951721,11316,,2011,2,1,1/0/1900,1/0/1900,10,245383,256699,Regular,,lrojas,,NA,NA,3556,1,NA,,,,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Corophiidae,
15,418,452,STTD,2011/2/23,9.100000381,0.239999995,453,8.850000381,9.979999542,NA,TRUE,,,0.115081161,8.689519543,26873,304.0951721,11316,,2011,2,1,1/0/1900,1/0/1900,10,245383,256699,Regular,,lrojas,,NA,NA,3557,1,NA,,,,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,
18,418,452,STTD,2011/2/23,9.100000381,0.239999995,453,8.850000381,9.979999542,NA,TRUE,,,0.230162323,8.689519543,26873,304.0951721,11316,,2011,2,1,1/0/1900,1/0/1900,10,245383,256699,Regular,,lrojas,,NA,NA,3558,2,NA,,,,Aquatic Non-Insects,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,
34,418,452,STTD,2011/2/23,9.100000381,0.239999995,453,8.850000381,9.979999542,NA,TRUE,,,0.460324645,8.689519543,26873,304.0951721,11316,,2011,2,1,1/0/1900,1/0/1900,10,245383,256699,Regular,,lrojas,,NA,NA,3555,4,NA,,,,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,
